name,category,description,price
"GPO3 / UPGM 203","NEMA G10","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","NEMA G10","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","NEMA G10","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","NEMA G10","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","NEMA G10","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","NEMA G10","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","NEMA G10","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","NEMA G10","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","NEMA G10","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","NEMA G10","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","NEMA G10","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","NEMA G10","Magnetic Laminates - industrial composite",0
"MICA Tubes","NEMA G10","MICA Tubes - industrial composite",0
"MICA Sheet","NEMA G10","MICA Sheet - industrial composite",0
"MICA Paper","NEMA G10","MICA Paper - industrial composite",0
"MICA Tape","NEMA G10","MICA Tape - industrial composite",0
"Synthetic MICA Tape","NEMA G10","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","NEMA G10","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","NEMA G10","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","NEMA G10","Calcinied MICA Tape - industrial composite",0
"Glass Fabric Laminates |","NEMA G10","Glass Fabric Laminates | - industrial composite",0
"NEMA G10","NEMA G10","NEMA G10 - industrial composite",0
"Excellent chemical resistance & radiation resistance","NEMA G10","Excellent chemical resistance & radiation resistance - industrial composite",0
"RoHS, Reach certified products","NEMA G10","RoHS, Reach certified products - industrial composite",0
"Previous product","NEMA G10","Previous product - industrial composite",0
"next product","NEMA G10","next product - industrial composite",0
"GPO3","NEMA G10","GPO3 - industrial composite",0
"View All Products","NEMA G10","View All Products - industrial composite",0
"Glass Mat Laminates","NEMA G10","Glass Mat Laminates - industrial composite",0
"Magnetic Products","NEMA G10","Magnetic Products - industrial composite",0
"Products","NEMA G11","Products - industrial composite",0
"Glass Fabric Laminates","NEMA G11","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","NEMA G11","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","NEMA G11","Speciality Laminates - industrial composite",0
"MICA","NEMA G11","MICA - industrial composite",0
"Tubes And Cylinders","NEMA G11","Tubes And Cylinders - industrial composite",0
"Threaded Rods","NEMA G11","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","NEMA G11","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","NEMA G11","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","NEMA G11","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","NEMA G11","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","NEMA G11","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","NEMA G11","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","NEMA G11","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","NEMA G11","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","NEMA G11","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","NEMA G11","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","NEMA G11","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","NEMA G11","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","NEMA G11","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","NEMA G11","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","NEMA G11","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","NEMA G11","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","NEMA G11","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","NEMA G11","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","NEMA G11","Magnetic Laminates - industrial composite",0
"MICA Tubes","NEMA G11","MICA Tubes - industrial composite",0
"MICA Sheet","NEMA G11","MICA Sheet - industrial composite",0
"MICA Paper","NEMA G11","MICA Paper - industrial composite",0
"MICA Tape","NEMA G11","MICA Tape - industrial composite",0
"Synthetic MICA Tape","NEMA G11","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","NEMA G11","Muscovite MICA Tape - industrial composite",0
